No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
17,Cyberpunk UI,General,"Futuristic, high-tech, neon, glitch, data-dense, dark mode, high contrast, industrial, sci-fi","Neon Green #39FF14, Cyan #00FFFF, Magenta #FF00FF","Pure Black #000000, Deep Grey #121212, Warning Orange #FF7F00","Glitch animations, neon glows, scanlines, digital noise, hard edges, terminal prompts, rapid interactions","Gaming, tech startups, dev tools, futuristic apps, crypto platforms, event sites","Healthcare, wellness, conservative corporate, children apps, minimal editorial",✗ Poor,✓ Full,⚠ Moderate,⚠ High cognitive load,✓ High,✓ High,"Tailwind 9/10, GSAP 10/10",Cyber-retro-futurism,High,"Design a cyberpunk interface. Use neon greens/cyans/magentas on a pure black background. Include glitch animations, neon glows, scanlines, and digital noise effects. Use hard edges and terminal-inspired typography. Data-dense and high-tech feel.","background-color: #000, text-shadow: 0 0 5px #39FF14, animation: glitch 1s infinite, border: 1px solid #39FF14","☐ Neon color palette used, ☐ Glitch animations included, ☐ Scanlines/noise visible, ☐ Terminal-inspired fonts, ☐ Neon glows verified, ☐ High-tech industrial feel","--bg-cyber: #000, --neon-primary: #39FF14, --glow-strength: 5px, --glitch-speed: 1s"
18,Liquid Glass,General,"Premium, fluid, blurred, vibrant, modern, smooth, high-end, organic gradients, glass depth","Vibrant Pink #FF1493, Electric Blue #1E90FF","Translucent overlays, White #FFFFFF (reflections)","Complex organic gradients (animated), backdrop blur (20-30px), multi-layer depth, smooth entry transitions (600ms)","Luxury brands, high-end portfolios, creative agencies, premium product landing pages, lifestyle apps","Performance-limited sites, data-heavy dashboards, professional tools, technical docs",✓ Full,✓ Full,⚠ Moderate–Heavy,⚠ Text contrast,✓ High,✓ High,"Tailwind 8/10, Framer Motion 10/10",2020s Modern,High,"Design using Liquid Glass. Focus on premium fluid gradients that are animated. Use deep backdrop blurs (20-30px) and multi-layer depth. Transitions should be exceptionally smooth (600ms). Use vibrant colors with translucent reflections.","backdrop-filter: blur(25px), background: linear-gradient(135deg, rgba(255,255,255,0.1), rgba(255,255,255,0.05)), animation: liquid 10s infinite alternate","☐ Animated organic gradients, ☐ Deep backdrop blur 20-30px, ☐ Multi-layer glass depth, ☐ Smooth transitions 600ms+, ☐ High-end premium feel, ☐ Vibrant but balanced colors","--blur-deep: 25px, --glass-gradient: rgba(255,255,255,0.1), --animation-liquid: 10s, --transition-smooth: 600ms"
19,Bento Box Grid,General,"Modular, organized, hierarchy, clean, mobile-inspired, card-based, structured, modern, efficient","Neutral Base (White/Grey/Black)","Brand Primary accent","Modular grid cards (variable sizes), rounded corners (12-16px), subtle borders (1px), hover lift (scale 1.02), clear spacing (16-24px)","Dashboards, feature sections, portfolios, product showcases, landing pages, mobile apps","Storytelling-first, editorial sites, artistic experiments, low-data minimal","✓ Full","✓ Full","⚡ Excellent","✓ High","✓ High","✓ High","Tailwind 10/10, CSS Grid 10/10","2020s Apple-style",Low,"Design a Bento Box grid layout. Use modular cards of variable sizes to create hierarchy. Cards should have rounded corners (12-16px) and subtle borders. Add a slight lift (scale 1.02) on hover. Ensure consistent spacing (16-24px).","display: grid, grid-template-columns: repeat(auto-fit, minmax(200px, 1fr)), border-radius: 12px, border: 1px solid #eee","☐ Modular card hierarchy verified, ☐ Consistent spacing (16-24px), ☐ Rounded corners 12-16px, ☐ Subtle borders (1px), ☐ Hover lift effect scale 1.02, ☐ Organized clean grid","--spacing-grid: 24px, --radius-bento: 12px, --border-light: 1px solid #eee, --hover-scale: 1.02"
20,Zero Interface (AI-Native),General,"Minimalist, conversational, focus, generative, invisible UI, streaming text, prompt-centric, high-utility","Monochromatic / AI Purple #6366F1","Accent (System Blue/Green)","Streaming text (AI speed), subtle cursor pulse, minimal chrome (buttons/borders), rapid focus (tab/command+k), high performance","AI platforms, search tools, developer assistants, command-line interfaces, productivity tools, chatbots","E-commerce, landing pages, visual showcases, entertainment, traditional SaaS","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","◐ Medium","Tailwind 10/10, Shadcn UI 10/10","2020s AI Era",Low,"Design a Zero Interface (AI-Native) UI. Focus on the conversation/prompt. Minimize chrome (buttons, bars, borders). Use streaming text for AI responses, a subtle pulsing cursor, and rapid focus shortcuts. Invisible UI until needed.","max-width: 800px, font-family: sans-serif, border: none, background: transparent, transition: fade-in 200ms","☐ Minimal chrome verified (no bars), ☐ Conversational/prompt focus, ☐ Streaming text animation, ☐ Subtle cursor pulse, ☐ Rapid keyboard focus shortcuts, ☐ Clean minimalist typography","--max-width: 800px, --ai-primary: #6366F1, --pulse-duration: 1.5s, --font-size-chat: 16px"
21,Retro-Futurism,General,"Vintage high-tech, CRT, neon, 80s, synthwave, digital, nostalgic, grid lines, glowing text","Neon Purple #8B00FF, Cyber Cyan #00FFFF, Electric Pink #FF00FF","Deep Black #000000, Navy #000080","Scanlines, glowing text (blur), CRT distortion (subtle), grid floors (3D perspective), VHS noise, instant feedback","Gaming, music apps, niche creative tools, event sites, entertainment, tech blogs","Corporate SaaS, banking, healthcare, government, mainstream professional sites","✗ Poor","✓ Full","⚠ Moderate","⚠ High cognitive load","✓ High","◐ Medium","Tailwind 9/10, Three.js 10/10","80s Synthwave",High,"Design a Retro-Futurist interface. Use neon purples/cyans/pinks on a deep dark background. Include scanlines, glowing text, CRT distortion, and grid floors in perspective. Focus on 80s synthwave aesthetics and nostalgia.","filter: blur(1px), text-shadow: 0 0 10px #8B00FF, background: radial-gradient(#000, #000080)","☐ Neon 80s color palette, ☐ Scanlines/noise implemented, ☐ Glowing text effects, ☐ Perspective grid floor visible, ☐ CRT/VHS distortion effects, ☐ High-energy nostalgic feel","--bg-retro: #000, --neon-glow: #8B00FF, --grid-color: #00FFFF, --distortion-level: low"
22,Flat Design (Modern Evolution),General,"Clean, structured, 2D, colored surfaces, geometric, scalable, efficient, clear hierarchy, modern typography","Solid Brand Colors","Neutral supportive shades","Zero gradients, zero shadows (or single very soft), bold iconography, rapid hover (100ms), structured layout","Utility apps, mobile tools, admin panels, documentation, task managers, cross-platform apps","Luxury brands, high-end creative, artistic storytelling, immersive experiences","✓ Full","✓ Full","⚡ Excellent","✓ High","✓ High","✓ High","Tailwind 10/10, Bootstrap 10/10","2010s-Present",Low,"Design using Modern Flat Design. Use solid colored surfaces, structured geometric layouts, and modern clean typography. No gradients, no shadows (or single very soft). Focus on efficiency and clear hierarchy through color blocking.","background-color: #3b82f6, border-radius: 4px, border: none, box-shadow: none, font-weight: 500","☐ Solid color surfaces (no gradients), ☐ Zero or minimal soft shadows, ☐ Structured geometric grid, ☐ Clean modern typography 500+, ☐ High efficiency layout, ☐ Mobile-friendly simplicity","--primary: #3b82f6, --radius: 4px, --shadow-none: none, --spacing-base: 16px"
23,Holographic / HUD,General,"Transparent, high-tech, blue/cyan, tactical, data-dense, military, precision, futuristic, overlay","Cyber Cyan #00D4FF, Electric Blue #007AFF","Deep Void #050510, Alert Red #FF3B30","Backdrop blur (10px), scanlines (low opacity), data-dense overlays, corner brackets, glowing text, rapid scrolling data","Dashboards, cybersecurity, gaming, high-tech tools, aerospace, complex monitoring","Lifestyle apps, minimal creative, healthcare (patients), e-commerce, general consumer","✗ Poor","✓ Full","⚠ Moderate","⚠ High density complexity","✓ High","◐ Medium","Tailwind 9/10, CSS 10/10","Sci-Fi Cinema",High,"Design a Holographic HUD interface. Use transparent cyan/blue overlays on a deep void background. Include backdrop blurs, scanlines, data-dense grids, corner brackets, and glowing data points. Tactical and high-precision feel.","backdrop-filter: blur(10px), border: 1px solid rgba(0, 212, 255, 0.3), font-family: 'JetBrains Mono'","☐ Transparent holographic overlays, ☐ Deep void background #050510, ☐ Scanlines visible, ☐ Corner brackets on cards, ☐ Data-dense precision grid, ☐ Glowing cyan text verified","--hud-cyan: #00D4FF, --blur-glass: 10px, --border-tactical: 1px solid rgba(0,212,255,0.3)"
24,Kinetic Typography,General,"Typographic, motion, bold, scale, contrast, black & white, editorial, aggressive, impactful","Monochromatic (Black/White)","Single vibrant accent (Red/Yellow)","Scaling text on scroll, infinite marquees, rotating text, high-contrast intersections, rapid movement, no images","Editorial, creative agencies, fashion, event sites, bold branding, portfolios","Data entry, complex SaaS, professional tools, technical documentation, utilities","✓ Full","✓ Full","⚡ Good (if optimized)","⚠ Motion sensitive","✓ High","◐ Medium","Tailwind 9/10, Framer Motion 10/10","2020s High Fashion",High,"Design a Kinetic Typography interface. Use massive black & white typography as the primary visual. Include infinite marquees, scaling text on scroll, and rotating elements. Minimal use of images. High impact and aggressive editorial feel.","font-size: 10rem, font-weight: 900, text-transform: uppercase, overflow: hidden, white-space: nowrap","☐ Massive typography hierarchy, ☐ Infinite marquee implemented, ☐ Scroll-scale animations, ☐ Black & White primary palette, ☐ Minimal to no images, ☐ High impact editorial tone","--font-size-hero: 10rem, --font-weight: 900, --marquee-speed: 20s"
25,Organic 2.0 (Biological),General,"Flowing, cellular, microscopic, fluid, green/teal, nature, smooth, soft depth, biomimicry","Nature Green #10B981, Deep Teal #0D9488","Soft Sage #F0FDF4, Earthy Neutrals","Organic liquid motion, SVG morphing shapes, cellular patterns, soft ambient glows, smooth easing (800ms)","Wellness, sustainability, biotech, healthcare (innovation), science apps, eco-brands","Fintech, cybersecurity, industrial tools, traditional SaaS, high-speed apps","✓ Full","◐ Partial","⚠ Moderate","✓ High","✓ High","◐ Medium","Tailwind 8/10, SVG 10/10, Framer Motion 9/10","2020s Modern",Medium,"Design using Organic 2.0 principles. Use flowing cellular shapes, microscopic-inspired patterns, and natural greens/teals. Morphing SVG shapes and liquid motion are key. Easing should be very smooth and slow (800ms+).","clip-path: circle(50% at 50% 50%), filter: blur(40px), transition: all 1s ease-in-out, background: hsla(160, 80%, 40%, 0.1)","☐ Cellular/flowing shapes verified, ☐ Morphing SVG animations, ☐ Nature green/teal palette, ☐ Soft ambient glows visible, ☐ Slow smooth easing 800ms+, ☐ Biological/organic feel","--radius-liquid: 50%, --easing-organic: 1s, --blur-glow: 40px, --primary-nature: #10B981"
26,Neubrutalism (Mobile First),Mobile,"Bold, thick borders, pop-art, high-energy, mobile-friendly, large buttons, thumb-zone focus","Bright Yellow #FACC15, Electric Purple #A855F7","Pure Black #000000 (borders), White #FFFFFF","Thick borders (3-4px), hard offset shadows (6px), large touch targets (50px+), bottom-focused navigation, rapid haptic feedback","Startups, Gen-Z mobile apps, consumer tech, events, gaming, creative tools","Enterprise mobile, healthcare, formal finance, government mobile tools","✓ Full","✗ Poor","⚡ Excellent","✓ High","✓ High (Touch)","✓ High","React Native 10/10, Flutter 9/10","2020s Trend",Low,"Design a mobile-first Neubrutalist app. Use bold colors, 3-4px black borders, hard offset shadows (6px), and large touch targets (50px+). Focus on bottom-zone navigation for easy thumb reach. Rapid feedback and high energy.","border-width: 4px, box-shadow: 6px 6px 0px #000, min-height: 56px, background-color: #FACC15","☐ 4px black borders used, ☐ Hard offset shadow (no blur), ☐ Large touch targets ≥ 50px, ☐ Bottom-zone navigation focus, ☐ High saturation color palette, ☐ Rapid feedback verified","--border-thick: 4px, --shadow-offset: 6px, --touch-target: 56px, --bg-neon: #FACC15"
27,Swiss Modernism (Mobile),Mobile,"Grid-based, typographic, structured, clean, high-end, documentation, neutral, professional","Pure Black #000000, Off-White #FAFAFA","Accent Vermillion #FF4500, Slate Grey","Tight grid (8-16 columns), typography-first hierarchy, zero shadows, sharp borders (1px), fast performance, high readability","Productivity apps, notes, documentation, professional tools, high-end mobile portfolios","Playful consumer apps, kids apps, entertainment, artistic experiments","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","◐ Medium","React Native 10/10, SwiftUI 10/10","Modern Editorial",Low,"Design a mobile Swiss Modernist interface. Use a tight 8-16 column grid, prioritize typography hierarchy, and keep colors neutral (B&W) with a single sharp accent. No shadows, no rounded corners. High readability and performance.","font-family: 'Inter', letter-spacing: -0.01em, border: 1px solid #000, border-radius: 0, padding: 1rem","☐ Tight 8-16 column grid, ☐ Typography-first hierarchy, ☐ Neutral B&W palette, ☐ No shadows/gradients, ☐ Sharp 0px corners verified, ☐ High performance lean UI","--grid-mobile: 8, --tracking-tight: -0.01em, --radius-none: 0px, --accent: #FF4500"
28,Cyber-Retro-Noir,Mobile,"Dark, neon, futuristic, gritty, high-tech, cinematic, glowing, tactical, immersive","Void Black #050505, Deep Purple #2E1065","Neon Green #22C55E, Amber #F59E0B","Glowing text (neon), scanlines, grain/noise texture, cinematic transitions (fade-to-black), high-contrast data, tactical overlays","Gaming, crypto, cyber-security apps, cinematic storytelling, tech-noir branding","Healthcare, wellness, conservative corporate, children apps, general consumer","✗ Poor","✓ Full","⚠ Moderate","⚠ High cognitive load","✓ High","◐ Medium","React Native 9/10, Expo 10/10","Sci-Fi Noir",High,"Design a Cyber-Retro-Noir mobile UI. Use a void black background with deep purple and neon green accents. Include grain/noise textures, scanlines, and glowing neon text. High-contrast tactical overlays and cinematic transitions.","background-color: #050505, text-shadow: 0 0 8px #22C55E, filter: contrast(1.2) brightness(0.8)","☐ Void black #050505 background, ☐ Neon green/purple accents, ☐ Grain/noise texture visible, ☐ Scanlines/distress effects, ☐ Cinematic fade transitions, ☐ Tactical high-tech feel","--bg-void: #050505, --neon-glow: #22C55E, --texture-grain: 0.1, --brightness: 0.8"
29,Soft UI (Touch-First),Mobile,"Approachable, soft, rounded (32px+), pastel, white space, thumb-friendly, calm, minimal","Lavender #8B5CF6, Sky Blue #38BDF8","Pure White #FFFFFF, Muted Slate #F1F5F9","Soft multi-layer shadows, slow transitions (400ms), massive rounded corners (32px+), high white space, simplified inputs","Wellness apps, parenting tools, education, approachable SaaS, home automation, lifestyle","Trading, technical tools, brutalist brands, industrial apps, high-density data","✓ Full","◐ Partial","⚡ Good","✓ High","✓ High","✓ High","React Native 10/10, SwiftUI 10/10","2020s Modern",Low,"Design a soft touch-first mobile UI. Use large rounded corners (32px+), pastel colors, and soft shadows. Transitions should be calm (400ms). Focus on high white space and thumb-friendly navigation. Approachable and friendly.","border-radius: 32px, box-shadow: 0 10px 30px rgba(0,0,0,0.05), padding: 1.5rem, background: #FFF","☐ Large rounded corners 32px+, ☐ Soft pastel color palette, ☐ Multi-layer soft shadows, ☐ High white space verified, ☐ Thumb-friendly navigation, ☐ Calm transitions 400ms","--radius-touch: 32px, --shadow-soft: 0 10px 30px rgba(0,0,0,0.05), --primary-pastel: #8B5CF6, --easing-calm: 400ms"
30,Data-Dense Tactical HUD,Mobile,"Precision, technical, data-heavy, military, HUD, dark mode, high-contrast, compact, efficient","Pure Black #000000, Tactical Green #22C55E","Amber #F59E0B, Slate 900 #0F172A","Micro-grids (4-8px), glowing borders (1px), rapid data streaming, corner brackets, monospace fonts, fast transitions (100ms)","Trading platforms, cybersecurity mobile, IoT monitoring, flight/navigation tools, complex data apps","General consumer apps, lifestyle, marketing landing pages, children apps, minimal creative","✗ Poor","✓ Full","⚡ Excellent","⚠ High density complexity","✓ High","✓ High","React Native 10/10, Expo 10/10","Military/Technical",Medium,"Design a data-dense tactical HUD for mobile. Use pure black background with tactical green and amber accents. Include micro-grids, corner brackets, and glowing borders. Prioritize data density and rapid updates with monospace fonts.","font-family: 'JetBrains Mono', background: #000, border: 1px solid #22C55E, density: tight","☐ Tactical green/amber on black, ☐ Micro-grid structure (4-8px), ☐ Monospace data fonts verified, ☐ Corner brackets on data cards, ☐ Data density maximized, ☐ Rapid 100ms transitions","--bg-tactical: #000, --accent-green: #22C55E, --grid-size: 8px, --font-mono: JetBrains Mono"
31,Bento Box Mobile,Mobile,"Modular, cards, structured, clean, Apple-style, hierarchy, responsive, modern, tactile","Neutral Palette (White/Black)","Brand Primary accent","Modular bento grid, rounded corners (16-20px), subtle shadow (lift), scale 0.98 on press, consistent spacing (12px)","Mobile dashboards, profile pages, feature navigation, product catalogues, settings, landing screens","Long-form reading, storytelling-first, minimal editorial, high-density tables","✓ Full","✓ Full","⚡ Excellent","✓ High","✓ High (Thumb Zone)","✓ High","React Native 10/10, SwiftUI 10/10","2020s Apple-style",Low,"Design a Bento Box mobile layout. Use modular cards with rounded corners (16-20px). Cards should have a subtle lift shadow. Add a scale 0.98 effect on press. Ensure 12px consistent spacing throughout. Apple-inspired structure.","display: flex, flex-direction: column, gap: 12px, border-radius: 20px, box-shadow: 0 4px 6px rgba(0,0,0,0.05)","☐ Modular bento cards verified, ☐ Consistent spacing 12px, ☐ Rounded corners 16-20px, ☐ Subtle lift shadow on cards, ☐ Press scale 0.98 verified, ☐ Modern Apple-style structure","--radius-bento: 20px, --spacing-grid: 12px, --shadow-lift: 0 4px 6px, --press-scale: 0.98"
32,Accessible & Ethical (Mobile),Mobile,"Universal design, high contrast, large text, clear icons, inclusive, safe, readable, simple","High-Contrast Palette (WCAG 7:1)","Accessible Neutrals","Large touch targets (48px+), zero dark patterns, clear focus states, legible fonts (18px+), high-contrast borders","Healthcare apps, government mobile tools, utilities, elder-care, accessibility-first platforms","Entertainment-only, experimental creative, gaming, high-speed trading tools","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","◐ Medium","React Native 10/10, Expo 10/10","2020s Standard",Low,"Design an accessibility-first mobile UI. Prioritize high contrast (7:1), large touch targets (48px+), and legible font sizes (18px+). Ensure focus states are extremely visible and there are zero dark patterns. Simple and inclusive.","font-size: 1.125rem, line-height: 1.5, touch-target: 48px, border: 2px solid primary, focus-ring: 3px","☐ WCAG AAA contrast 7:1, ☐ Touch targets ≥ 48x48px, ☐ Legible font size 18px+, ☐ No dark patterns verified, ☐ High-visibility focus states, ☐ Inclusive simple navigation","--min-touch: 48px, --font-size-base: 18px, --contrast-goal: 7:1, --border-focus: 3px"
33,Organic (Fluid Mobile),Mobile,"Soft, natural, flowing, curved, earthy, sustainable, approachable, calm, eco, smooth","Leaf Green #22C55E, Earth Brown #78350F","Sky Blue #38BDF8, Soft Neutrals","Morphing SVG shapes, smooth fluid easing (600ms), curved containers (radius 40px+), natural textures, subtle parallax","Eco-friendly brands, wellness apps, agriculture tools, meditation apps, sustainable marketing","Fintech, cybersecurity, industrial tools, high-speed dashboards, technical products","✓ Full","◐ Partial","⚡ Good","✓ High","✓ High","◐ Medium","React Native 9/10, SVG 10/10","2020s Modern",Medium,"Design a fluid organic mobile UI. Use nature-inspired colors, morphing SVG shapes, and very large rounded corners (40px+). Transitions should be fluid and smooth (600ms). Natural and sustainable feel.","border-radius: 40px, clip-path: url(#fluid-shape), background: #F0FDF4, transition: all 0.6s ease","☐ Nature-inspired palette, ☐ Large rounded corners 40px+, ☐ Morphing SVG fluid shapes, ☐ Smooth easing 600ms, ☐ Natural sustainable feel, ☐ Approachable calm tone","--radius-fluid: 40px, --easing-fluid: 0.6s, --color-nature: #22C55E"
34,High-End Minimal (Mobile),Mobile,"Luxury, elegant, exclusive, premium, monochromatic, gold accent, clean, spacious, structured","Black #000000, White #FFFFFF","Gold #D4AF37, Silver #C0C0C0","High-contrast monochrome, ultra-sharp edges (0px), 1px borders, typography-first, smooth transitions (500ms), luxury haptics","Luxury e-commerce, premium brands, high-end portfolios, exclusive services, boutique apps","Budget brands, playful consumer tools, kids apps, data-dense dashboards","✓ Full","✓ Full","⚡ Excellent","✓ High","✓ High","✓ High","React Native 10/10, SwiftUI 10/10","Premium 2020s",Low,"Design a high-end minimal mobile UI. Use monochromatic colors with a single gold/silver accent. Maintain ultra-sharp edges (0px) and clean 1px borders. Focus on typography and massive white space. Premium and exclusive feel.","font-family: 'Playfair Display', letter-spacing: -0.02em, border: 1px solid #000, border-radius: 0, padding: 2rem","☐ Monochromatic palette + gold accent, ☐ Sharp 0px corners verified, ☐ Clean 1px borders, ☐ High-end typography focus, ☐ Massive white space, ☐ Exclusive premium tone","--radius-none: 0px, --border-luxury: 1px solid #000, --accent-gold: #D4AF37, --font-luxury: Playfair Display"
35,Kinetic Brutalism,General,"Aggressive, high-energy, marquee, motion, bold, black/white, yellow, raw, impact, loud","Acid Yellow #DFE104, Pure Black #000000","White #FFFFFF, Pink #FF00FF","Infinite marquee loops, rapid color flips, hover flood inversion, 0px radius, 2px borders, haptic feedback, massive display type","Creative agencies, brand flagships, underground culture, performance apps, sports, events","Healthcare, finance, kids apps, calm informational platforms, government, conservative","✗ Poor","✓ Full","⚡ Excellent","⚠ Motion sensitive","✓ High","✓ High","Tailwind 10/10, Framer Motion 10/10, Reanimated 10/10","2020s Kinetic",High,"Design a Kinetic Brutalist interface. Use Acid Yellow #DFE104 and Pure Black. Include infinite marquee loops, rapid color flips (flood inversion) on interaction, 0px radius, and thick 2px borders. Aggressive, loud, and high-energy feel.","background-color: #000, color: #DFE104, border: 2px solid #DFE104, font-weight: 900, text-transform: uppercase","☐ Acid yellow/black primary palette, ☐ Infinite marquee loops implemented, ☐ Color flood inversion on interaction, ☐ Massive display type 900+, ☐ 0px sharp corners verified, ☐ High energy aggressive tone","--bg-kinetic: #000, --accent-acid: #DFE104, --border-width: 2px, --font-weight: 900"
36,Spatial UI (visionOS-Style),General,"Glassmorphism, depth, 3D, visionOS, frosted glass, ambient lighting, spatial, modern, translucent","Translucent White (rgba 255,255,255,0.1)","System Blue #007AFF, Neutral Grey","Backdrop blur (30px), thick borders (1px rgba white 0.2), ambient shadows (large), hover state (light glow), spatial depth (z-index)","visionOS apps, VR/AR interfaces, futuristic SaaS, premium dashboards, immersive tools","Low-end mobile, performance-critical, data-dense technical tools, minimal brutalist sites","◐ Partial","✓ Full","❌ Poor","⚠ Text contrast risk","◐ Medium","✓ High","Tailwind 8/10, Vision Pro Libs 10/10","2020s Spatial Era",High,"Design a spatial UI (visionOS-style). Use frosted glass with 30px backdrop blur, thick translucent borders, and ambient shadows. Focus on depth (z-index) and ambient lighting. Interactions should feel spatial and immersive.","backdrop-filter: blur(30px), background: rgba(255,255,255,0.1), border: 1px solid rgba(255,255,255,0.2), box-shadow: 0 40px 80px rgba(0,0,0,0.3)","☐ Frosted glass backdrop blur 30px, ☐ Spatial depth (layered cards), ☐ Ambient lighting/shadows verified, ☐ Thick translucent borders, ☐ High-end spatial feel, ☐ visionOS-inspired aesthetic","--blur-spatial: 30px, --glass-bg: rgba(255,255,255,0.1), --shadow-ambient: 0 40px 80px"
37,Brutalism (Digital Noir),General,"Gritty, high-contrast, black/white, grain, noise, raw, industrial, structured, impactful","Monochromatic (Black/White)","Deep Grey #121212, Warning Red #FF0000","Noise/grain texture, high contrast (1.5x), sharp corners (0px), bold sans-serif, rapid transitions (100ms), 2px borders","Tech blogs, creative portfolios, underground brands, dev tools, artistic platforms","Healthcare, wellness, conservative corporate, children apps, general consumer","✗ Poor","✓ Full","⚡ Excellent","✓ High","✓ High","◐ Medium","Tailwind 10/10, CSS 10/10","Digital Brutalism",Low,"Design a Digital Noir Brutalist UI. Use monochromatic black & white with noise/grain textures. High contrast (1.5x), sharp 0px corners, and thick 2px borders. Bold typography and rapid transitions. Industrial and gritty feel.","background-color: #000, color: #FFF, filter: contrast(1.5) url(#noise), border: 2px solid #FFF, font-weight: 700","☐ Monochromatic palette verified, ☐ Noise/grain texture visible, ☐ High contrast 1.5x, ☐ Sharp 0px corners verified, ☐ Thick 2px borders used, ☐ Gritty industrial tone","--bg-noir: #000, --fg-noir: #FFF, --contrast-noir: 1.5, --border-noir: 2px solid #FFF"
38,Neo-Skeuomorphism,General,"Tactile, depth, shadows, realistic, modern skeuomorphic, soft, rounded, clickable, physical","Brand Primary (High Saturation)","Soft Grey #F0F0F0, White #FFFFFF","Multi-layer shadows (inner+outer), gradients (4-6 stops), tactile feedback, spring motion, realistic textures (subtle)","Creative apps, gaming, lifestyle products, premium dashboards, tactile utility tools","Data-dense enterprise, performance-critical, minimal editorial, high-speed trading","✓ Full","◐ Partial","⚠ Moderate","⚠ Complex contrast","✓ High","✓ High","Tailwind 8/10, CSS 10/10","Modern Skeuomorphic",Medium,"Design a neo-skeuomorphic interface. Focus on tactile depth using multi-layer shadows and complex gradients. Interactions should feel physical and satisfy with spring motion. Subtle realistic textures for a modern skeuomorphic feel.","box-shadow: 0 10px 20px rgba(0,0,0,0.1), inset 0 2px 4px rgba(255,255,255,0.8), linear-gradient(145deg, #fff, #eee)","☐ Tactile depth (inner+outer shadows), ☐ Complex gradients (4-6 stops), ☐ Spring motion verified, ☐ Tactile feedback on press, ☐ Realistic textures (subtle) used, ☐ High-end physical feel","--shadow-tactile: 0 10px 20px, --gradient-depth: linear-gradient, --spring-tactile: spring"
39,Hyper-Modern SaaS,General,"Indigo/violet, gradient, clean, professional, high-performance, polished, approachable, SaaS","Indigo #6366F1, Violet #8B5CF6","Slate Grey #64748B, Success Green #10B981","Subtle gradients, soft shadows (Indigo tint), rounded corners (12px), fast interactions (150ms), skeletal loading, clean hierarchy","B2B SaaS, developer tools, professional platforms, modern dashboards, tech startups","Creative portfolios, entertainment, kids apps, brutalist brands, artistic sites",✓ Full,✓ Full,⚡ Excellent,✓ High,✓ High,✓ High,"Tailwind 10/10, Next.js 10/10, MUI 9/10",2020s SaaS Standard,Low,"Design a hyper-modern SaaS UI. Use Indigo/Violet gradients, clean professional typography, and polished high-performance layouts. Include subtle shadows with an Indigo tint and rounded corners (12px). Approachable but high-tech feel.","background-color: #F8FAFC, color: #1E293B, border-radius: 12px, border: 1px solid #E2E8F0, accent: #6366F1","☐ Indigo/Violet gradient palette, ☐ Clean professional SaaS feel, ☐ Rounded corners 12px verified, ☐ Subtle Indigo-tinted shadows, ☐ Polished high-performance layout, ☐ Approachable tech tone","--primary-saas: #6366F1, --radius-saas: 12px, --shadow-indigo: 0 10px 20px rgba(99,102,241,0.1)"
40,Zen Minimalism,General,"Calm, focus, white space, slow motion, beige, muted, soft, simplified, peaceful","Beige #F5F5F0, Sage #9C9F84","Muted Charcoal #333333, Warm White","Slow fade-in (1s), massive white space, minimal elements (3-5 per screen), simplified typography, zen calm","Meditation apps, wellness sites, minimal lifestyle brands, reading-focused platforms, portfolios","E-commerce, trading, high-energy gaming, news sites, complex dashboards",✓ Full,✗ Poor,⚡ Excellent,✓ High,✓ High,◐ Medium,"Tailwind 10/10, CSS 10/10","Minimal Lifestyle",Low,"Design a zen minimalist interface. Prioritize massive white space and a calm beige/sage palette. Elements should be extremely minimal (3-5 per screen). Use slow transitions (1s+) and simplified typography. Peaceful and focused feel.","background-color: #F5F5F0, color: #333, padding: 4rem, opacity: 0.9, transition: opacity 1s","☐ Massive white space verified, ☐ Beige/sage calm palette, ☐ Minimal elements (3-5 per screen), ☐ Slow transitions 1s+, ☐ Simplified clean typography, ☐ Peaceful zen feel","--bg-zen: #F5F5F0, --color-sage: #9C9F84, --transition-zen: 1s, --spacing-zen: 4rem"
