No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity
11,Portfolio/Personal,Storytelling-Driven,Motion-Driven + Minimalism,Brand primary + Artistic,Expressive + Variable typography,Parallax (3-5 layers) + Scroll-triggered reveals,"{""if_creative_field"": ""add-brutalism"", ""if_minimal_portfolio"": ""reduce-motion""}",Corporate templates + Generic layouts,MEDIUM
12,Gaming,Feature-Rich Showcase,3D & Hyperrealism + Retro-Futurism,Vibrant + Neon + Immersive,Bold + Impactful typography,WebGL 3D rendering + Glitch effects,"{""if_competitive"": ""add-real-time-stats"", ""if_casual"": ""increase-playfulness""}",Minimalist design + Static assets,HIGH
13,Government/Public Service,Minimal & Direct,Accessible & Ethical + Minimalism,Professional blue + High contrast,Clear + Large typography,Clear focus rings (3-4px) + Skip links,"{""must_have"": ""wcag-aaa"", ""must_have"": ""keyboard-navigation""}",Ornate design + Low contrast + Motion effects + AI purple/pink gradients,HIGH      
14,Fintech/Crypto,Trust & Authority,Minimalism + Accessible & Ethical,Navy + Trust Blue + Gold,Professional + Trustworthy,Smooth state transitions + Number animations,"{""must_have"": ""security-first"", ""if_dashboard"": ""use-dark-mode""}",Playful design + Unclear fees + AI purple/pink gradients,HIGH
15,Social Media App,Feature-Rich Showcase,Vibrant & Block-based + Motion-Driven,Vibrant + Engagement colors,Modern + Bold typography,Large scroll animations + Icon animations,"{""if_engagement_metric"": ""add-motion"", ""if_content_focused"": ""minimize-chrome""}",Heavy skeuomorphism + Accessibility ignored,MEDIUM
16,Productivity Tool,Interactive Demo + Feature-Rich,Flat Design + Micro-interactions,Clear hierarchy + Functional colors,Clean + Efficient typography,Quick actions (150ms) + Task animations,"{""must_have"": ""keyboard-shortcuts"", ""if_collaboration"": ""add-real-time-cursors""}",Complex onboarding + Slow performance,HIGH
17,Design System/Component Library,Feature-Rich + Documentation,Minimalism + Accessible & Ethical,Clear hierarchy + Code-like structure,Monospace + Clear typography,Code copy animations + Component previews,"{""must_have"": ""search"", ""must_have"": ""code-examples""}",Poor documentation + No live preview,HIGH
18,AI/Chatbot Platform,Interactive Demo + Minimal,AI-Native UI + Minimalism,Neutral + AI Purple (#6366F1),Modern + Clear typography,Streaming text + Typing indicators + Fade-in,"{""must_have"": ""conversational-ui"", ""must_have"": ""context-awareness""}",Heavy chrome + Slow response feedback,HIGH
19,NFT/Web3 Platform,Feature-Rich Showcase,Cyberpunk UI + Glassmorphism,Dark + Neon + Gold (#FFD700),Bold + Modern typography,Wallet connect animations + Transaction feedback,"{""must_have"": ""wallet-integration"", ""must_have"": ""gas-fees-display""}",Light mode default + No transaction status,HIGH
20,Creator Economy Platform,Social Proof + Feature-Rich,Vibrant & Block-based + Bento Box Grid,Vibrant + Brand colors,Modern + Bold typography,Engagement counter animations + Profile reveals,"{""must_have"": ""creator-profiles"", ""must_have"": ""monetization-display""}",Generic layout + Hidden earnings,MEDIUM
21,Remote Work/Collaboration Tool,Feature-Rich + Real-Time,Soft UI Evolution + Minimalism,Calm Blue + Neutral grey,Clean + Readable typography,Real-time presence indicators + Notification badges,"{""must_have"": ""status-indicators"", ""must_have"": ""video-integration""}",Cluttered interface + No presence,HIGH
22,Mental Health App,Social Proof-Focused,Neumorphism + Accessible & Ethical,Calm Pastels + Trust colors,Calming + Readable typography,Soft press + Breathing animations,"{""must_have"": ""privacy-first"", ""if_meditation"": ""add-breathing-animation""}",Bright neon + Motion overload,HIGH
23,Pet Tech App,Storytelling + Feature-Rich,Claymorphism + Vibrant & Block-based,Playful + Warm colors,Friendly + Playful typography,Pet profile animations + Health tracking charts,"{""must_have"": ""pet-profiles"", ""if_health"": ""add-vet-integration""}",Generic design + No personality,MEDIUM
24,Smart Home/IoT Dashboard,Real-Time Monitoring,Glassmorphism + Dark Mode (OLED),Dark + Status indicator colors,Clear + Functional typography,Device status pulse + Quick action animations,"{""must_have"": ""real-time-controls"", ""must_have"": ""energy-monitoring""}",Slow updates + No automation,HIGH
25,EV/Charging Ecosystem,Hero-Centric + Feature-Rich,Minimalism + Aurora UI,Electric Blue (#009CD1) + Green,Modern + Clear typography,Range estimation animations + Map interactions,"{""must_have"": ""charging-map"", ""must_have"": ""range-calculator""}",Poor map UX + Hidden costs,HIGH
26,Subscription Box Service,Feature-Rich + Conversion,Vibrant & Block-based + Motion-Driven,Brand + Excitement colors,Engaging + Clear typography,Unboxing reveal animations + Product carousel,"{""must_have"": ""personalization-quiz"", ""must_have"": ""subscription-management""}",Complex checkout + Static product shots,MEDIUM
27,Podcast Platform,Storytelling-Driven,Dark Mode (OLED) + Minimalism,Dark + Audio waveform accents,Modern + Clean typography,Waveform animations + Audio player transitions,"{""must_have"": ""audio-player-ux"", ""if_creator"": ""add-analytics-dashboard""}",Light mode only + Complex navigation,MEDIUM
28,Dating App,Social Proof-Focused,Vibrant & Block-based + Motion-Driven,Warm + Romantic (Pink/Red),Modern + Playful typography,Swipe card animations + Match reveals,"{""must_have"": ""profile-cards"", ""must_have"": ""safety-features""}",Boring layout + Static interactions,MEDIUM
29,Micro-Credentials/Badges Platform,Trust & Authority,Minimalism + Flat Design,Trust Blue + Gold,Professional + Readable,Credential verification animations + Badge reveals,"{""must_have"": ""verification-system"", ""must_have"": ""progress-tracking""}",Playful design + Unclear value,MEDIUM
30,Knowledge Base/Documentation,FAQ/Documentation,Minimalism + Accessible & Ethical,Clean hierarchy + Minimal color,Clear + Functional typography,Search focus + Code block transitions,"{""must_have"": ""full-text-search"", ""must_have"": ""clear-navigation""}",Ornate design + Hidden search,HIGH
31,Hyperlocal Services,Conversion-Optimized,Minimalism + Vibrant & Block-based,Location markers + Trust colors,Modern + Clear typography,Map animations + Service provider reveals,"{""must_have"": ""map-integration"", ""must_have"": ""booking-system""}",Poor mobile UX + Static maps,HIGH
32,Beauty/Spa/Wellness Service,Hero-Centric + Social Proof,Soft UI Evolution + Neumorphism,Soft pastels + Cream + Gold,Elegant + Readable typography,Service reveal animations + Gallery transitions,"{""must_have"": ""booking-system"", ""must_have"": ""service-menu""}",Harsh colors + Cluttered layout,MEDIUM
33,Luxury/Premium Brand,Storytelling + Feature-Rich,Liquid Glass + Glassmorphism,Black + Gold + White,Elegant + High-end typography,Premium image transitions + Luxury scroll,"{""must_have"": ""high-quality-visuals"", ""must_have"": ""exclusivity-feel""}",Cheap stock photos + Vibrant block-based colors,HIGH
34,Restaurant/Food Service,Hero-Centric + Conversion,Vibrant & Block-based + Motion-Driven,Warm colors + Appetizing imagery,Engaging + Clear typography,Menu reveal animations + Order flow,"{""must_have"": ""online-ordering"", ""must_have"": ""location-hours""}",Poor food photography + Hidden menu,HIGH
35,Fitness/Gym App,Feature-Rich Showcase,Vibrant & Block-based + Dark Mode (OLED),Energetic (Orange/Blue) + Dark,Bold + Motivational typography,Workout timer animations + Progress charts,"{""must_have"": ""progress-tracking"", ""must_have"": ""workout-plans""}",Low energy colors + Static data,HIGH
36,Real Estate/Property,Hero-Centric + Feature-Rich,Glassmorphism + Minimalism,Trust Blue + Gold accents,Professional + Clear typography,Virtual tour animations + Listing reveals,"{""must_have"": ""property-listings"", ""must_have"": ""map-integration""}",Poor imagery + Confusing filters,HIGH
37,Travel/Tourism Agency,Storytelling + Hero-Centric,Aurora UI + Motion-Driven,Vibrant destination colors,Modern + Engaging typography,Destination reveal animations + Itinerary transitions,"{""must_have"": ""destination-showcase"", ""must_have"": ""booking-system""}",Boring layout + Static images,MEDIUM
38,Hotel/Hospitality,Hero-Centric + Social Proof,Liquid Glass + Minimalism,Warm neutrals + Gold + Brand,Elegant + Clear typography,Room reveal animations + Booking transitions,"{""must_have"": ""room-booking"", ""must_have"": ""amenities-showcase""}",Poor booking UX + Cluttered info,HIGH
39,Wedding/Event Planning,Storytelling + Social Proof,Soft UI Evolution + Aurora UI,Soft Pink + Gold + Cream,Romantic + Elegant typography,Portfolio reveal animations + Timeline transitions,"{""must_have"": ""portfolio-gallery"", ""must_have"": ""vendor-directory""}",Harsh colors + Complex planning,MEDIUM
40,Legal Services,Trust & Authority + Minimal,Trust & Authority + Minimalism,Navy Blue + Gold + White,Formal + Professional typography,Practice area reveals + Attorney profiles,"{""must_have"": ""credibility-signals"", ""must_have"": ""contact-forms""}",Playful design + Hidden results,HIGH
41,Insurance Platform,Conversion-Optimized + Trust,Trust & Authority + Flat Design,Trust Blue + Green + Neutral,Professional + Clean typography,Quote calculator animations + Policy reveals,"{""must_have"": ""quote-calculator"", ""must_have"": ""policy-comparison""}",Unclear pricing + Complex terms,HIGH
42,Banking/Traditional Finance,Trust & Authority + Feature-Rich,Minimalism + Accessible & Ethical,Navy + Trust Blue + Gold,Formal + Professional typography,Secure transaction animations + Balance reveals,"{""must_have"": ""security-first"", ""must_have"": ""mobile-banking""}",Playful design + Hidden fees,HIGH
43,Online Course/E-learning,Feature-Rich + Social Proof,Claymorphism + Vibrant & Block-based,Vibrant learning colors,Friendly + Clear typography,Progress reveal animations + Quiz transitions,"{""must_have"": ""course-catalog"", ""must_have"": ""progress-tracking""}",Boring design + No gamification,HIGH
44,Non-profit/Charity,Storytelling-Driven + Trust,Accessible & Ethical + Organic Biophilic,Cause-related colors + Trust,Emotional + Clear typography,Impact reveal animations + Donation flow,"{""must_have"": ""impact-stories"", ""must_have"": ""donation-flow""}",Hidden transparency + Poor emotional connection,MEDIUM
45,Music Streaming,Feature-Rich Showcase,Dark Mode (OLED) + Vibrant & Block-based,Dark + Vibrant accents,Modern + Bold typography,Waveform animations + Audio transitions,"{""must_have"": ""audio-player"", ""must_have"": ""playlist-management""}",Light mode primary + Poor discovery,MEDIUM
46,Video Streaming/OTT,Hero-Centric + Feature-Rich,Dark Mode (OLED) + Motion-Driven,Dark bg + Content poster colors,Modern + Bold typography,Poster reveal animations + Video transitions,"{""must_have"": ""video-player"", ""must_have"": ""content-discovery""}",Light mode primary + Poor recommendations,HIGH
47,Job Board/Recruitment,Conversion-Optimized + Feature-Rich,Flat Design + Minimalism,Professional Blue + Success Green,Clear + Professional typography,Job reveal animations + Search transitions,"{""must_have"": ""job-listings"", ""must_have"": ""application-tracking""}",Complex filters + Poor profiles,HIGH
48,Marketplace (P2P),Feature-Rich + Social Proof,Vibrant & Block-based + Flat Design,Trust colors + Category colors,Engaging + Clear typography,Listing reveal animations + Payment transitions,"{""must_have"": ""seller-buyer-profiles"", ""must_have"": ""secure-payment""}",Hidden fees + Poor reviews,HIGH
49,Logistics/Delivery,Feature-Rich + Conversion,Minimalism + Flat Design,Blue + Orange + Green,Professional + Functional typography,Real-time tracking animations + Status reveals,"{""must_have"": ""real-time-tracking"", ""must_have"": ""status-updates""}",Poor map tracking + Unclear status,HIGH
50,Agriculture/Farm Tech,Feature-Rich + Trust,Organic Biophilic + Flat Design,Earth Green + Brown + Sky,Natural + Clear typography,Sensor reveal animations + Weather charts,"{""must_have"": ""crop-monitoring"", ""must_have"": ""iot-sensors""}",Industrial design + No real-time data,MEDIUM
51,Construction/Architecture,Hero-Centric + Feature-Rich,Minimalism + 3D & Hyperrealism,Grey + Orange + Blueprint Blue,Technical + Elegant typography,3D render reveals + Project timeline,"{""must_have"": ""project-portfolio"", ""must_have"": ""3d-renders""}",Poor imagery + No technical detail,HIGH
52,Automotive/Car Dealership,Hero-Centric + Feature-Rich,Motion-Driven + 3D & Hyperrealism,Brand colors + Metallic accents,Bold + Modern typography,360 car reveal animations + Feature reveals,"{""must_have"": ""vehicle-showcase"", ""must_have"": ""comparison-tools""}",Static car shots + Hidden prices,HIGH
53,Photography Studio,Storytelling + Hero-Centric,Motion-Driven + Minimalism,Black + White + Minimal,Artistic + Expressive typography,Portfolio image reveal animations + Smooth scroll,"{""must_have"": ""portfolio-gallery"", ""must_have"": ""booking-system""}",Cheap templates + Low res images,MEDIUM
54,Coworking Space,Hero-Centric + Feature-Rich,Vibrant & Block-based + Glassmorphism,Energetic colors + Wood tones,Modern + Bold typography,Space reveal animations + Booking transitions,"{""must_have"": ""space-tour"", ""must_have"": ""membership-plans""}",Boring design + Hidden location,MEDIUM
55,Home Services (Plumber/Electrician),Conversion-Optimized + Trust,Flat Design + Trust & Authority,Trust Blue + Safety Orange,Formal + Professional typography,Service list reveal animations + Booking flow,"{""must_have"": ""service-list"", ""must_have"": ""emergency-contact""}",Playful design + Unclear pricing,HIGH
56,Childcare/Daycare,Social Proof-Focused + Trust,Claymorphism + Vibrant & Block-based,Playful pastels + Safe colors,Friendly + Readable typography,Staff profile reveal animations + Parent updates,"{""must_have"": ""programs-display"", ""must_have"": ""safety-certifications""}",Harsh colors + Hidden staff,MEDIUM
57,Senior Care/Elderly,Trust & Authority + Social Proof,Accessible & Ethical + Soft UI Evolution,Calm Blue + Warm neutrals,Clear + Large typography,Service reveal animations + Care qualified info,"{""must_have"": ""care-services"", ""must_have"": ""accessibility-first""}",Motion overload + Low contrast + AI purple/pink gradients,HIGH     
58,Medical Clinic,Trust & Authority + Conversion,Accessible & Ethical + Minimalism,Medical Blue + Trust White,Formal + Clear typography,Online booking reveal animations + Patient info,"{""must_have"": ""services-display"", ""must_have"": ""doctor-profiles""}",Vibrant block design + Hidden booking,HIGH
59,Pharmacy/Drug Store,Conversion-Optimized + Trust,Flat Design + Accessible & Ethical,Pharmacy Green + Trust Blue,Clear + Functional typography,Product reveal animations + Prescription upload,"{""must_have"": ""product-catalog"", ""must_have"": ""refill-reminders""}",Hidden info + Poor trust signals,HIGH
60,Dental Practice,Social Proof-Focused + Conversion,Soft UI Evolution + Minimalism,Fresh Blue + White + Yellow,Clean + Professional typography,Before/after reveal animations + Booking flow,"{""must_have"": ""services-display"", ""must_have"": ""dentist-profiles""}",Harsh design + Hidden results,HIGH
61,Veterinary Clinic,Social Proof-Focused + Trust,Claymorphism + Accessible & Ethical,Caring Blue + Pet colors,Friendly + Playful typography,Pet profile reveal animations + Health charts,"{""must_have"": ""pet-services"", ""must_have"": ""vet-profiles""}",Boring layout + No personality,MEDIUM
62,Florist/Plant Shop,Hero-Centric + Conversion,Organic Biophilic + Vibrant & Block-based,Natural Green + Floral pinks,Natural + Engaging typography,Product reveal animations + Seasonal transitions,"{""must_have"": ""product-catalog"", ""must_have"": ""occasion-categories""}",Static design + No visual flair,MEDIUM
63,Bakery/Cafe,Hero-Centric + Conversion,Vibrant & Block-based + Soft UI Evolution,Warm Brown + Cream + Accents,Engaging + Readable typography,Menu reveal animations + Order flow,"{""must_have"": ""menu-display"", ""must_have"": ""online-ordering""}",Poor photography + Hidden location,HIGH
64,Brewery/Winery,Storytelling + Hero-Centric,Motion-Driven + Storytelling-Driven,Deep amber + Gold + Craft,Artisanal + Bold typography,Product reveal animations + Heritage reveals,"{""must_have"": ""product-showcase"", ""must_have"": ""story-heritage""}",Corporate design + No craft feel,MEDIUM
65,Airline,Conversion-Optimized + Feature-Rich,Minimalism + Glassmorphism,Sky Blue + Brand colors,Professional + Functional typography,Flight search reveal animations + Booking flow,"{""must_have"": ""flight-search"", ""must_have"": ""boarding-pass-ux""}",Confusing search + Slow updates,HIGH
66,News/Media Platform,Hero-Centric + Feature-Rich,Minimalism + Flat Design,Brand colors + High contrast,Editorial + Clear typography,Category reveal animations + News feed,"{""must_have"": ""article-layout"", ""must_have"": ""breaking-news""}",Poor readability + Hidden search,HIGH
67,Magazine/Blog,Storytelling + Hero-Centric,Swiss Modernism 2.0 + Motion-Driven,Editorial colors + Brand + Clean white,Editorial + Elegant typography,Article transitions + Category reveals,"{""must_have"": ""article-showcase"", ""must_have"": ""newsletter-signup""}",Poor typography + Slow loading,HIGH
68,Freelancer Platform,Feature-Rich + Conversion,Flat Design + Minimalism,Professional Blue + Success Green,Clear + Professional typography,Skill match animations + Review reveals,"{""must_have"": ""portfolio-display"", ""must_have"": ""skill-matching""}",Poor profiles + No reviews,HIGH
69,Marketing Agency,Storytelling + Feature-Rich,Brutalism + Motion-Driven,Bold brand colors + Creative freedom,Bold + Expressive typography,Portfolio reveals + Results animations,"{""must_have"": ""portfolio"", ""must_have"": ""results-metrics""}",Boring design + Hidden work,HIGH
70,Event Management,Hero-Centric + Feature-Rich,Vibrant & Block-based + Motion-Driven,Event theme colors + Excitement accents,Bold + Engaging typography,Countdown timer + Registration flow,"{""must_have"": ""registration"", ""must_have"": ""agenda-display""}",Confusing registration + No countdown,HIGH
71,Membership/Community,Social Proof + Conversion,Vibrant & Block-based + Soft UI Evolution,Community brand colors + Engagement,Friendly + Engaging typography,Member counter + Benefit reveals,"{""must_have"": ""member-benefits"", ""must_have"": ""pricing-tiers""}",Hidden benefits + No community proof,HIGH
72,Newsletter Platform,Minimal + Conversion,Minimalism + Flat Design,Brand primary + Clean white + CTA,Clean + Readable typography,Subscribe form + Archive reveals,"{""must_have"": ""subscribe-form"", ""must_have"": ""sample-content""}",Complex signup + No preview,MEDIUM
73,Digital Products/Downloads,Feature-Rich + Conversion,Vibrant & Block-based + Motion-Driven,Product colors + Brand + Success green,Modern + Clear typography,Product preview + Instant delivery animations,"{""must_have"": ""product-preview"", ""must_have"": ""instant-delivery""}",No preview + Slow delivery,HIGH
74,Church/Religious Organization,Hero-Centric + Social Proof,Accessible & Ethical + Soft UI Evolution,Warm Gold + Deep Purple/Blue + White,Welcoming + Clear typography,Service time highlights + Event calendar,"{""must_have"": ""service-times"", ""must_have"": ""community-events""}",Outdated design + Hidden info,MEDIUM
75,Sports Team/Club,Hero-Centric + Feature-Rich,Vibrant & Block-based + Motion-Driven,Team colors + Energetic accents,Bold + Impactful typography,Score animations + Schedule reveals,"{""must_have"": ""schedule"", ""must_have"": ""roster""}",Static content + Poor fan engagement,HIGH
76,Museum/Gallery,Storytelling + Feature-Rich,Minimalism + Motion-Driven,Art-appropriate neutrals + Exhibition accents,Elegant + Minimal typography,Virtual tour + Collection reveals,"{""must_have"": ""virtual-tour"", ""must_have"": ""exhibition-info""}",Cluttered layout + No online access,HIGH
77,Theater/Cinema,Hero-Centric + Conversion,Dark Mode (OLED) + Motion-Driven,Dark + Spotlight accents + Gold,Dramatic + Bold typography,Seat selection + Trailer reveals,"{""must_have"": ""showtimes"", ""must_have"": ""seat-selection""}",Poor booking UX + No trailers,HIGH
78,Language Learning App,Feature-Rich + Social Proof,Claymorphism + Vibrant & Block-based,Playful colors + Progress indicators,Friendly + Clear typography,Progress animations + Achievement unlocks,"{""must_have"": ""progress-tracking"", ""must_have"": ""gamification""}",Boring design + No motivation,HIGH
79,Coding Bootcamp,Feature-Rich + Social Proof,Dark Mode (OLED) + Minimalism,Code editor colors + Brand + Success,Technical + Clear typography,Terminal animations + Career outcome reveals,"{""must_have"": ""curriculum"", ""must_have"": ""career-outcomes""}",Light mode only + Hidden results,HIGH
80,Cybersecurity Platform,Trust & Authority + Real-Time,Cyberpunk UI + Dark Mode (OLED),Matrix Green (#00FF00) + Deep Black,Technical + Clear typography,Threat visualization + Alert animations,"{""must_have"": ""real-time-monitoring"", ""must_have"": ""threat-display""}",Light mode + Poor data viz,HIGH
81,Developer Tool / IDE,Minimal + Documentation,Dark Mode (OLED) + Minimalism,Dark syntax theme + Blue focus,Monospace + Functional typography,Syntax highlighting + Command palette,"{""must_have"": ""keyboard-shortcuts"", ""must_have"": ""documentation""}",Light mode default + Slow performance,HIGH
82,Biotech / Life Sciences,Storytelling + Data,Glassmorphism + Clean Science,Sterile White + DNA Blue + Life Green,Scientific + Clear typography,Data visualization + Research reveals,"{""must_have"": ""data-accuracy"", ""must_have"": ""clean-aesthetic""}",Cluttered data + Poor credibility,HIGH
83,Space Tech / Aerospace,Immersive + Feature-Rich,Holographic/HUD + Dark Mode,Deep Space Black + Star White + Metallic,Futuristic + Precise typography,Telemetry animations + 3D renders,"{""must_have"": ""high-tech-feel"", ""must_have"": ""precision-data""}",Generic design + No immersion,HIGH
84,Architecture / Interior,Portfolio + Hero-Centric,Exaggerated Minimalism + High Imagery,Monochrome + Gold Accent + High Imagery,Architectural + Elegant typography,Project gallery + Blueprint reveals,"{""must_have"": ""high-res-images"", ""must_have"": ""project-portfolio""}",Poor imagery + Cluttered layout,HIGH
85,Quantum Computing Interface,Immersive + Interactive,Holographic/HUD + Dark Mode,Quantum Blue (#00FFFF) + Deep Black,Futuristic + Scientific typography,Probability visualizations + Qubit state animations,"{""must_have"": ""complexity-visualization"", ""must_have"": ""scientific-credibility""}",Generic tech design + No viz,HIGH   
86,Biohacking / Longevity App,Data-Dense + Storytelling,Biomimetic/Organic 2.0 + Minimalism,Cellular Pink/Red + DNA Blue + White,Scientific + Clear typography,Biological data viz + Progress animations,"{""must_have"": ""data-privacy"", ""must_have"": ""scientific-credibility""}",Generic health app + No privacy,HIGH
87,Autonomous Drone Fleet Manager,Real-Time + Feature-Rich,HUD/Sci-Fi FUI + Real-Time,Tactical Green + Alert Red + Map Dark,Technical + Functional typography,Telemetry animations + 3D spatial awareness,"{""must_have"": ""real-time-telemetry"", ""must_have"": ""safety-alerts""}",Slow updates + Poor spatial viz,HIGH
88,Generative Art Platform,Showcase + Feature-Rich,Minimalism + Gen Z Chaos,Neutral (#F5F5F5) + User Content,Minimal + Content-focused typography,Gallery masonry + Minting animations,"{""must_have"": ""fast-loading"", ""must_have"": ""creator-attribution""}",Heavy chrome + Slow loading,HIGH
89,Spatial Computing OS / App,Immersive + Interactive,Spatial UI (VisionOS) + Glassmorphism,Frosted Glass + System Colors + Depth,Spatial + Readable typography,Depth hierarchy + Gaze interactions,"{""must_have"": ""depth-hierarchy"", ""must_have"": ""environment-awareness""}",2D design + No spatial depth,HIGH
90,Sustainable Energy / Climate Tech,Data + Trust,Organic Biophilic + E-Ink/Paper,Earth Green + Sky Blue + Solar Yellow,Clear + Informative typography,Impact viz + Progress animations,"{""must_have"": ""data-transparency"", ""must_have"": ""impact-visualization""}",Greenwashing + No real data,HIGH
91,Personal Finance Tracker,Interactive Product Demo,Glassmorphism + Dark Mode (OLED),Calm blue + success green + alert red + chart accents,Modern + Clear hierarchy,Backdrop blur (10-20px) + Translucent overlays,"{""if_light_mode_needed"": ""provide-theme-toggle"", ""if_low_performance"": ""fallback-to-flat""}",Pure white backgrounds,HIGH
92,Chat & Messaging App,Feature-Rich Showcase + Demo,Minimalism + Micro-interactions,Brand primary + bubble contrast (sender/receiver) + typing grey,Professional + Clean hierarchy,Subtle hover 200ms + Smooth transitions + Clean,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",Excessive decoration,HIGH
93,Notes & Writing App,Minimal & Direct,Minimalism + Flat Design,Clean white/cream + minimal accent + editor syntax colors,Professional + Clean hierarchy,Color shift hover + Fast 150ms transitions + No shadows,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",Excessive decoration + Complex shadows + 3D effects,HIGH
94,Habit Tracker,Social Proof-Focused + Demo,Claymorphism + Vibrant & Block-based,Streak warm (amber/orange) + progress green + motivational accents,Playful + Rounded + Friendly,Multi-layer shadows + Spring bounce + Soft press 200ms,"{""if_trust_needed"": ""add-testimonials""}",Muted colors + Low energy,HIGH
95,Food Delivery / On-Demand,Hero-Centric Design + Feature-Rich,Vibrant & Block-based + Motion-Driven,Appetizing warm (orange/red) + trust blue + map accent,Energetic + Bold + Large,Scroll animations + Parallax + Page transitions,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",Muted colors + Low energy,HIGH
96,Ride Hailing / Transportation,Conversion-Optimized + Demo,Minimalism + Glassmorphism,Brand primary + map neutral + status indicator colors,Professional + Clean hierarchy,Backdrop blur (10-20px) + Translucent overlays,"{""if_low_performance"": ""fallback-to-flat"", ""if_conversion_focused"": ""add-urgency-colors""}",Excessive decoration,HIGH
97,Recipe & Cooking App,Hero-Centric Design + Feature-Rich,Claymorphism + Vibrant & Block-based,Warm food tones (terracotta/sage/cream) + appetizing imagery,Playful + Rounded + Friendly,Multi-layer shadows + Spring bounce + Soft press 200ms,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",Muted colors + Low energy,HIGH
98,Meditation & Mindfulness,Storytelling-Driven + Social Proof,Neumorphism + Soft UI Evolution,Ultra-calm pastels (lavender/sage/sky) + breathing animation gradient,Subtle + Soft + Monochromatic,Dual shadows (light+dark) + Soft press 150ms,"{""if_trust_needed"": ""add-testimonials""}",Inconsistent styling + Poor contrast ratios,HIGH
99,Weather App,Hero-Centric Design,Glassmorphism + Aurora UI,Atmospheric gradients (sky blue → sunset → storm grey) + temp scale,Modern + Clear hierarchy,Backdrop blur (10-20px) + Translucent overlays,"{""if_low_performance"": ""fallback-to-flat""}",Inconsistent styling + Poor contrast ratios,HIGH
